ID,Title,Created Date,Updated Date,Author,Commits,Changed Files,Additions,Deletions,Status
739,helicone integration docs,2024-06-07 18:59:07+00:00,2024-06-07 18:59:07+00:00,chitalian,1,1,26,0,Open
735,Adding async support for tools,2024-06-05 05:05:57+00:00,2024-06-05 06:11:49+00:00,tg1482,2,2,103,4,Open
728,Update Memory.md,2024-06-03 21:21:49+00:00,2024-06-03 21:21:49+00:00,robbyriverside,1,1,6,1,Open
721,fix: agent_executor_callbacks,2024-06-02 07:53:54+00:00,2024-06-02 07:53:54+00:00,JayClock,1,1,2,1,Open
720,Add prompt_overrides to Crew,2024-06-02 06:59:41+00:00,2024-06-02 07:34:49+00:00,gabriels1234,1,3,39,3,Open
712,Removed hyphen in co-workers,2024-05-29 16:13:56+00:00,2024-06-04 18:48:21+00:00,madmag77,1,18,387,381,Open
708,[Docs] Standardize max_execution_time,2024-05-28 16:05:13+00:00,2024-06-07 00:45:58+00:00,yuripourre,1,1,2,2,Open
707,Update AgentOps-Observability.md,2024-05-28 15:47:39+00:00,2024-05-28 15:47:39+00:00,fabfianda,1,1,2,2,Open
702,add datetime import for logger.py,2024-05-28 08:47:51+00:00,2024-06-07 00:43:54+00:00,lugq1990,1,1,1,0,Open
697,Feature/kickoff for each tests,2024-05-27 18:46:05+00:00,2024-05-27 18:46:05+00:00,bhancockio,11,7,791,340,Open
694,Added contextual memory in __init__ file,2024-05-27 12:06:42+00:00,2024-06-07 00:56:13+00:00,gaganmanku96,1,1,1,0,Open
693,fix for python 3.9 import crewai error [#215],2024-05-27 05:56:36+00:00,2024-05-27 05:56:36+00:00,lugq1990,1,2,3,3,Open
686,feat: Add Train feature for Crews,2024-05-24 22:36:58+00:00,2024-06-07 00:54:03+00:00,pythonbyte,6,6,236,6,Open
680,Feature/kickoff for each sync,2024-05-23 03:40:11+00:00,2024-06-04 04:23:06+00:00,bhancockio,5,3,193,38,Open
645,Fix typo's within converter.py,2024-05-20 08:47:41+00:00,2024-06-07 00:41:34+00:00,theCyberTech,2,2,5,5,Open
632,feat(agent): adds support for customizing the agent via a langchain runnable config,2024-05-17 06:54:58+00:00,2024-06-07 00:39:59+00:00,thehapyone,2,2,23,16,Open
628,Added Firecrawl tools to docs,2024-05-16 16:30:49+00:00,2024-05-16 16:30:49+00:00,rafaelsideguide,1,4,118,0,Open
622,Fix #620,2024-05-15 11:30:10+00:00,2024-06-07 13:06:41+00:00,italovieira,2,1,1,1,Open
619,Upgrade Project Dependencies Using Poetry for Enhanced Package Management,2024-05-15 04:07:45+00:00,2024-05-15 04:07:45+00:00,ronenfilho,1,1,45,44,Open
618,Adding in workflows to kickoff multiple crews and tasks,2024-05-15 02:07:07+00:00,2024-05-17 03:49:47+00:00,bhancockio,7,6,377,151,Open
606,MVP working but still needs improvements,2024-05-12 23:10:29+00:00,2024-06-07 00:31:39+00:00,bhancockio,1,10,215,0,Open
599,update agent/tasks/tools documentation to use literal property names,2024-05-11 19:08:04+00:00,2024-06-07 00:30:00+00:00,contractorwolf,1,4,61,62,Open
562,More explicit prompting to help smaller models,2024-05-04 13:38:42+00:00,2024-05-10 19:52:26+00:00,diversity-co-uk,4,1,14,14,Open
543,Add back AgentOps as Optional Dependency,2024-04-30 20:21:12+00:00,2024-06-08 00:16:13+00:00,bboynton97,61,7,96,18,Open
542,Set the path where all memories are saved,2024-04-30 13:05:32+00:00,2024-06-07 13:12:15+00:00,arnaudgelas,1,6,36,10,Open
493,adding agent name feature to help monitor traces in LLMOps tools,2024-04-23 00:55:36+00:00,2024-06-06 23:54:19+00:00,saibhaskerraju,4,1,1,1,Open
483,Accept Langchain's RunnableConfig to Agent.execute_task,2024-04-19 10:50:28+00:00,2024-06-07 13:09:27+00:00,whimo,1,1,4,1,Open
402,Enable telemetry opt-out #254,2024-03-30 22:08:06+00:00,2024-05-28 11:52:20+00:00,gardner,3,1,2,0,Open
371,Updated documentation with details about 'crewai create' command,2024-03-22 20:45:27+00:00,2024-06-07 00:06:31+00:00,Blanco10022,1,1,40,0,Open
293,Added documentation-comments-translation to IT language,2024-02-29 18:48:04+00:00,2024-04-22 14:35:57+00:00,capimichi,21,20,648,283,Open
246,Ability to integrate external agents into the framework,2024-02-11 16:42:19+00:00,2024-06-07 13:11:30+00:00,ZmeiGorynych,10,6,119,8,Open
723,missing datetime import,2024-06-02 14:42:44+00:00,2024-06-02 15:53:34+00:00,strnad,1,1,1,1,Close
715,add missing datetime import,2024-05-30 22:19:21+00:00,2024-05-31 11:04:59+00:00,Infrared1029,1,1,1,1,Close
698,Update model to ChatOllama-in LLM-Connections.md,2024-05-27 19:55:20+00:00,2024-05-30 15:12:10+00:00,raulmartinez1855,1,1,3,4,Close
696,updated the import for cohere llm,2024-05-27 15:40:52+00:00,2024-06-04 06:32:23+00:00,taradepan,1,1,1,1,Close
688,BestProject/Create Project 001,2024-05-25 02:06:34+00:00,2024-05-25 23:34:36+00:00,Malumatra,1,1,1,0,Close
687,Add AI Newsletter Agency to Showcase CrewAI Capabilities Using Hierarchical Approach,2024-05-25 01:16:07+00:00,2024-05-25 23:36:09+00:00,Eugene9D,1,9,272,0,Close
676,Fix typo in instruction en.json,2024-05-22 21:06:17+00:00,2024-05-24 03:03:07+00:00,OlivierRoberdet,1,1,1,1,Close
666,fixes #665,2024-05-21 16:51:50+00:00,2024-05-26 04:31:28+00:00,vmsaif,1,1,1,1,Close
663,Enable search in docs,2024-05-21 15:36:52+00:00,2024-05-24 03:03:32+00:00,sanders41,1,1,1,0,Close
662,Clarify text in docstring,2024-05-21 15:23:27+00:00,2024-05-24 03:04:02+00:00,sanders41,1,1,1,1,Close
655,Update on default llm model used in agent.py,2024-05-21 04:58:24+00:00,2024-05-24 03:04:53+00:00,Anudeep-Kolluri,1,1,1,1,Close
652,Update Getting Started README.md example so that you can pass an llm parameter and not break code if lines are uncommented.,2024-05-20 21:20:56+00:00,2024-05-24 03:05:33+00:00,heaversm,1,1,13,11,Close
647,docs: Update browserbase tool,2024-05-20 09:04:26+00:00,2024-05-24 03:05:59+00:00,mishushakov,1,1,13,4,Close
646,Added timestamp to logger,2024-05-20 09:01:56+00:00,2024-05-27 02:13:50+00:00,theCyberTech,3,1,3,1,Close
644,Fix typo within crew.py,2024-05-20 08:38:18+00:00,2024-05-24 03:06:27+00:00,theCyberTech,1,1,1,1,Close
634,Add Langtrace to the 'How to' docs for CrewAI Agent Observability,2024-05-17 17:59:05+00:00,2024-05-29 05:14:29+00:00,karthikscale3,4,3,44,0,Close
631,Test/GitHub action pipeline,2024-05-17 00:15:32+00:00,2024-05-17 01:32:44+00:00,pythonbyte,1,2,6,7,Close
624,feat: Add crew train cli,2024-05-15 22:54:58+00:00,2024-05-23 21:47:01+00:00,pythonbyte,7,16,278,45,Close
608,Small RC Fixes,2024-05-13 05:11:49+00:00,2024-05-13 05:29:08+00:00,joaomdmoura,7,21,203703,3188,Close
607,fix typo exectue -> execute,2024-05-13 04:47:53+00:00,2024-05-13 05:19:07+00:00,italovieira,1,8,23,23,Close
604,Fixes #603,2024-05-12 21:05:59+00:00,2024-05-13 05:34:52+00:00,vmsaif,1,1,1,1,Close
596,feat: adds support to automatically fallback to the default encoding,2024-05-10 14:01:37+00:00,2024-05-10 14:54:46+00:00,thehapyone,2,1,2,2,Close
591,feat: add mypy as type checker-update code and add comment to reference,2024-05-10 01:47:03+00:00,2024-05-10 19:37:58+00:00,pythonbyte,25,23,1060,306,Close
590,Fix/yaml formatting,2024-05-09 23:29:55+00:00,2024-05-10 00:35:21+00:00,GabeKoga,2,3,21,1,Close
588,Feat: Add Ruff to improve linting/formatting,2024-05-09 22:09:12+00:00,2024-05-10 14:53:58+00:00,pythonbyte,11,13,30,53,Close
587,fix: fix test actually running,2024-05-09 19:10:13+00:00,2024-05-10 00:33:56+00:00,pythonbyte,4,4,422,5,Close
585,fix: Add validation fix output_file issue when have '/',2024-05-09 10:55:09+00:00,2024-05-09 11:11:09+00:00,pythonbyte,3,4,31,19,Close
568,Task needs an expected_output field in docs.,2024-05-05 14:33:05+00:00,2024-05-10 14:55:10+00:00,stephenwithav,2,1,2,1,Close
567,Revert 'Fix .md doc file 404 error on github',2024-05-05 13:35:33+00:00,2024-05-05 13:35:47+00:00,joaomdmoura,1,1,15,15,Close
564,Fix .md doc file 404 error on github,2024-05-04 17:55:22+00:00,2024-05-05 05:53:20+00:00,JackieQi,2,1,15,15,Close
557,changes static example topic to dynamic example topic,2024-05-03 20:35:26+00:00,2024-05-03 21:34:46+00:00,tarekadam,2,1,2,2,Close
556,changes static hard coded subject/topic to dynamic {topic},2024-05-03 20:23:20+00:00,2024-05-03 20:24:36+00:00,tarekadam,1,1,2,2,Close
555,docs: corrected imprecision in the instantiation,2024-05-03 10:11:01+00:00,2024-05-05 06:55:14+00:00,alexfazio,1,1,1,1,Close
553,Update LLM-Connections.md terminal command in docs,2024-05-03 03:13:03+00:00,2024-05-03 03:25:03+00:00,tarekadam,1,1,1,1,Close
552,fixes documentation of terminal command,2024-05-03 03:10:40+00:00,2024-05-03 03:11:27+00:00,tarekadam,2,1,1,1,Close
551,Update docstring in crew.py,2024-05-02 19:20:31+00:00,2024-05-02 22:21:23+00:00,dsolito,1,1,1,0,Close
550,Allow to use async tools within the task pipeline,2024-05-02 06:08:02+00:00,2024-06-05 05:07:00+00:00,tg1482,3,8,540,10,Close
548,fix to import statement PGSearchTool.md,2024-05-01 18:58:30+00:00,2024-05-02 06:10:43+00:00,alexfazio,1,1,2,2,Close
546,docs fix to xml tool import statement,2024-05-01 15:40:00+00:00,2024-05-01 15:53:49+00:00,alexfazio,2,1,1,1,Close
525,Update README.md,2024-04-28 01:24:28+00:00,2024-05-02 06:12:03+00:00,JimCollinsDC,1,1,1,1,Close
523,Add conditional check for output file directory creation,2024-04-26 22:50:14+00:00,2024-05-02 06:13:51+00:00,Tavernari,1,1,6,0,Close
521,Tool name recognition based on string distance,2024-04-26 10:13:26+00:00,2024-05-02 06:15:35+00:00,deadlious,5,1,6,2,Close
508,Added Browserbase loader to the docs,2024-04-24 13:11:02+00:00,2024-05-02 06:15:59+00:00,mishushakov,2,2,30,0,Close
507,fix [Errno 30] Read-only file system error when using AWS Lambda,2024-04-24 11:32:39+00:00,2024-05-02 06:16:54+00:00,SamuelKocur,1,1,9,3,Close
492,fix typo: PGSearchTool.md,2024-04-23 00:07:36+00:00,2024-05-02 06:22:19+00:00,cmosta0,1,1,2,2,Close
491,Update task.py: try to find json in task output using regex,2024-04-22 21:19:05+00:00,2024-05-02 06:26:35+00:00,ftoppi,2,1,11,1,Close
490,Changed 'Inert' to 'Innate' #470,2024-04-22 17:59:56+00:00,2024-05-02 06:27:09+00:00,Chillthrower,1,1,3,3,Close
489,fix typo,2024-04-22 15:59:33+00:00,2024-05-02 06:27:41+00:00,eltociear,2,2,5,5,Close
488,fix: TypeError: LongTermMemory.search() missing 1 required positional argument: 'latest_n',2024-04-21 19:01:11+00:00,2024-05-02 06:28:50+00:00,dkhokhlov,1,1,1,1,Close
477,Fix lockfile,2024-04-17 17:18:23+00:00,2024-04-18 14:28:07+00:00,Christian24,1,1,5,5,Close
475,Prevent duplicate TokenCalcHandler callbacks on Agent,2024-04-16 15:46:53+00:00,2024-04-16 18:54:03+00:00,jackhayter,1,1,7,3,Close
474,Added optional manager_agent parameter,2024-04-16 10:46:24+00:00,2024-04-16 11:18:36+00:00,noggynoggy,2,1,15,8,Close
472,Fixed typo in Tools.md,2024-04-15 22:03:32+00:00,2024-04-25 12:58:03+00:00,hyldmo,1,1,2,2,Close
468,Update LLM-Connections.md with up to date LM Studio instructions,2024-04-13 15:22:02+00:00,2024-04-16 11:20:56+00:00,pbadeer,1,1,3,3,Close
461,fix: link to observability,2024-04-11 09:03:32+00:00,2024-04-16 11:22:21+00:00,jonathanmv,1,1,1,1,Close
458,Incorrect documentation link for AgentOps,2024-04-11 05:21:04+00:00,2024-04-16 11:24:30+00:00,areibman,10,6,43,27,Close
446,Novo translation pt-BR,2024-04-08 22:42:35+00:00,2024-05-05 06:02:02+00:00,jowpereira,1,1,37,0,Close
443,fix: swapped the task callback assignment,2024-04-08 12:41:38+00:00,2024-04-16 18:54:43+00:00,bastulli,1,1,1,1,Close
442,Update README.md,2024-04-08 06:39:10+00:00,2024-04-08 08:59:05+00:00,Cfomodz,1,1,2,2,Close
436,The suggestions were getting split at character level and not at sentence level,2024-04-06 20:07:45+00:00,2024-04-07 05:57:24+00:00,rajib76,2,1,1,1,Close
432,Added trasnlation to 'pt-BR',2024-04-05 23:48:30+00:00,2024-05-05 06:02:12+00:00,freirefx,1,1,34,0,Close
428,fix/color_change,2024-04-05 21:25:20+00:00,2024-04-05 21:26:03+00:00,GabeKoga,1,3,12,12,Close
423,Feature: Log files,2024-04-04 19:20:36+00:00,2024-04-05 22:44:53+00:00,GabeKoga,2,7,231,5,Close
420,Update Creating-a-Crew-and-kick-it-off.md: add compatible python versions,2024-04-03 21:22:05+00:00,2024-04-22 21:12:38+00:00,ftoppi,2,1,1,1,Close
412,AgentOps Docs,2024-04-02 22:35:11+00:00,2024-04-04 18:09:31+00:00,bboynton97,4,5,78,1,Close
411,AgentOps Implementation,2024-04-02 22:19:32+00:00,2024-04-20 15:20:13+00:00,bboynton97,32,4,13,0,Close
409,Stop overwriting LLM callback #408,2024-04-02 21:32:19+00:00,2024-04-05 22:45:57+00:00,rakeshgohel01,1,1,4,2,Close
407,whitespace consistency across docs,2024-04-02 20:28:28+00:00,2024-04-06 06:45:00+00:00,ruebenramirez,2,2,51,51,Close
406,tasks.py: don't call Converter when model response is valid,2024-04-02 17:53:42+00:00,2024-04-04 13:16:15+00:00,ftoppi,3,1,10,0,Close
404,Feature/human input,2024-04-01 14:22:45+00:00,2024-04-01 14:29:59+00:00,GabeKoga,8,7,450,12,Close
401,Enable telemetry opt-out #254,2024-03-30 21:59:36+00:00,2024-03-30 22:07:20+00:00,gardner,1,1,2,0,Close
395,feature: human input per task,2024-03-28 20:51:35+00:00,2024-04-01 13:05:00+00:00,GabeKoga,9,7,449,12,Close
391,Update README.md,2024-03-28 15:17:30+00:00,2024-03-30 14:56:09+00:00,eltociear,1,1,1,1,Close
